
Host: HogEye

Timers On : Fri Feb  4 13:46:51 2022
Timers Off: Fri Feb  4 13:46:52 2022

Wall Time:        0.88 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 13:48:00 2022
Timers Off: Fri Feb  4 13:48:00 2022

Wall Time:        0.32 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 13:49:46 2022
Timers Off: Fri Feb  4 13:49:47 2022

Wall Time:        0.30 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 13:49:46 2022
Timers Off: Fri Feb  4 13:49:47 2022

Wall Time:        1.10 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 14:02:48 2022
Timers Off: Fri Feb  4 14:02:49 2022

Wall Time:        0.30 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 14:02:48 2022
Timers Off: Fri Feb  4 14:02:49 2022

Wall Time:        1.10 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 14:06:32 2022
Timers Off: Fri Feb  4 14:06:33 2022

Wall Time:        0.30 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 14:14:39 2022
Timers Off: Fri Feb  4 14:15:14 2022

Wall Time:       34.98 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: Guess                           :      0.000u      0.000s      2.219w     43 calls
| SAD Guess                         :      0.000u      0.000s      2.171w     43 calls
HF: Form G                          :      0.000u      0.000s     18.614w   1032 calls
| JK: D                             :      0.000u      0.000s      0.010w   1032 calls
| JK: USO2AO                        :      0.000u      0.000s      0.004w   1032 calls
| JK: JK                            :      0.000u      0.000s     18.573w   1032 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.797w    645 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    645 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.109w    645 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.443w    645 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      1.102w    387 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w   1032 calls
HF: Form F                          :      0.000u      0.000s      0.013w   1032 calls
HF: Form D                          :      0.000u      0.000s      0.008w   1032 calls
HF: DIIS                            :      0.000u      0.000s      1.030w    989 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.019w    989 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.075w    989 calls
| | bMatrix setup                   :      0.000u      0.000s      0.010w    989 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.025w    989 calls
| | New vector                      :      0.000u      0.000s      0.037w    989 calls
HF: Form C                          :      0.000u      0.000s      0.793w    989 calls
Grad: V T Perturb                   :      0.000u      0.000s      3.520w     43 calls
Grad: S                             :      0.000u      0.000s      0.010w     43 calls
Grad: JK                            :      0.000u      0.000s      5.811w     43 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.600w    172 calls
Grad: XC                            :      0.000u      0.000s      0.000w     43 calls

**************************************************************************************

Host: HogEye

Timers On : Wed Feb  9 11:11:42 2022
Timers Off: Wed Feb  9 11:11:44 2022

Wall Time:        2.00 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Wed Feb  9 11:12:52 2022
Timers Off: Wed Feb  9 11:12:53 2022

Wall Time:        0.66 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Wed Feb  9 11:14:47 2022
Timers Off: Wed Feb  9 11:14:47 2022

Wall Time:        0.65 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Wed Feb  9 11:26:50 2022
Timers Off: Wed Feb  9 11:27:24 2022

Wall Time:       33.75 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.589w     43 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      1.352w    817 calls
DFH: initialize()                   :      0.000u      0.000s      0.885w     43 calls
DFH: AO Construction                :      0.000u      0.000s      0.202w     43 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.113w     43 calls
HF: Form core H                     :      0.000u      0.000s      0.130w     43 calls
HF: Form S/X                        :      0.000u      0.000s      0.019w     43 calls
HF: Guess                           :      0.000u      0.000s      1.439w     43 calls
SAD Guess                           :      0.000u      0.000s      1.408w     43 calls
HF: Form G                          :      0.000u      0.000s     11.641w   1032 calls
JK: D                               :      0.000u      0.000s      0.009w   1032 calls
JK: USO2AO                          :      0.000u      0.000s      0.003w   1032 calls
JK: JK                              :      0.000u      0.000s     11.604w   1032 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.496w    645 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    645 calls
DFH: compute_J                      :      0.000u      0.000s      0.117w    645 calls
DFH: compute_K                      :      0.000u      0.000s      0.207w    645 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w   1032 calls
HF: Form F                          :      0.000u      0.000s      0.009w   1032 calls
HF: Form D                          :      0.000u      0.000s      0.007w   1032 calls
HF: DIIS                            :      0.000u      0.000s      0.733w    989 calls
DIISManager::add_entry              :      0.000u      0.000s      0.017w    989 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.067w    989 calls
bMatrix setup                       :      0.000u      0.000s      0.010w    989 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.025w    989 calls
New vector                          :      0.000u      0.000s      0.029w    989 calls
HF: Form C                          :      0.000u      0.000s      0.563w    989 calls
Grad: V T Perturb                   :      0.000u      0.000s      2.554w     43 calls
Grad: S                             :      0.000u      0.000s      0.005w     43 calls
Grad: JK                            :      0.000u      0.000s      3.217w     43 calls
Grad: XC                            :      0.000u      0.000s      0.000w     43 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.589w     43 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.103w     43 calls
DFH: initialize()                   :      0.000u      0.000s      0.885w     43 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.075w    215 calls
| DFH: AO Construction              :      0.000u      0.000s      0.202w     43 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.113w     43 calls
HF: Form core H                     :      0.000u      0.000s      0.130w     43 calls
HF: Form S/X                        :      0.000u      0.000s      0.019w     43 calls
HF: Guess                           :      0.000u      0.000s      1.439w     43 calls
| SAD Guess                         :      0.000u      0.000s      1.408w     43 calls
HF: Form G                          :      0.000u      0.000s     11.641w   1032 calls
| JK: D                             :      0.000u      0.000s      0.009w   1032 calls
| JK: USO2AO                        :      0.000u      0.000s      0.003w   1032 calls
| JK: JK                            :      0.000u      0.000s     11.604w   1032 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.496w    645 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    645 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.117w    645 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.207w    645 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.791w    387 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w   1032 calls
HF: Form F                          :      0.000u      0.000s      0.009w   1032 calls
HF: Form D                          :      0.000u      0.000s      0.007w   1032 calls
HF: DIIS                            :      0.000u      0.000s      0.733w    989 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.017w    989 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.067w    989 calls
| | bMatrix setup                   :      0.000u      0.000s      0.010w    989 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.025w    989 calls
| | New vector                      :      0.000u      0.000s      0.029w    989 calls
HF: Form C                          :      0.000u      0.000s      0.563w    989 calls
Grad: V T Perturb                   :      0.000u      0.000s      2.554w     43 calls
Grad: S                             :      0.000u      0.000s      0.005w     43 calls
Grad: JK                            :      0.000u      0.000s      3.217w     43 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.383w    172 calls
Grad: XC                            :      0.000u      0.000s      0.000w     43 calls

**************************************************************************************

Host: HogEye

Timers On : Wed Feb  9 12:40:47 2022
Timers Off: Wed Feb  9 12:40:48 2022

Wall Time:        0.72 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Wed Feb  9 12:45:36 2022
Timers Off: Wed Feb  9 12:45:37 2022

Wall Time:        0.71 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Wed Feb  9 14:19:12 2022
Timers Off: Wed Feb  9 14:19:13 2022

Wall Time:        0.91 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Wed Feb  9 14:42:56 2022
Timers Off: Wed Feb  9 14:42:57 2022

Wall Time:        0.73 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Wed Feb  9 15:04:56 2022
Timers Off: Wed Feb  9 15:04:56 2022

Wall Time:        0.69 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Wed Feb  9 15:07:57 2022
Timers Off: Wed Feb  9 15:07:58 2022

Wall Time:        0.72 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Wed Feb  9 15:34:48 2022
Timers Off: Wed Feb  9 15:34:49 2022

Wall Time:        0.68 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Wed Feb  9 15:45:04 2022
Timers Off: Wed Feb  9 15:45:04 2022

Wall Time:        0.70 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Wed Feb  9 15:48:00 2022
Timers Off: Wed Feb  9 15:48:34 2022

Wall Time:       33.76 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.154w     43 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      1.363w    817 calls
DFH: initialize()                   :      0.000u      0.000s      0.865w     43 calls
DFH: AO Construction                :      0.000u      0.000s      0.199w     43 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.110w     43 calls
HF: Form core H                     :      0.000u      0.000s      0.122w     43 calls
HF: Form S/X                        :      0.000u      0.000s      0.019w     43 calls
HF: Guess                           :      0.000u      0.000s      1.440w     43 calls
SAD Guess                           :      0.000u      0.000s      1.409w     43 calls
HF: Form G                          :      0.000u      0.000s     11.888w   1032 calls
JK: D                               :      0.000u      0.000s      0.009w   1032 calls
JK: USO2AO                          :      0.000u      0.000s      0.003w   1032 calls
JK: JK                              :      0.000u      0.000s     11.850w   1032 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.541w    645 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    645 calls
DFH: compute_J                      :      0.000u      0.000s      0.133w    645 calls
DFH: compute_K                      :      0.000u      0.000s      0.227w    645 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w   1032 calls
HF: Form F                          :      0.000u      0.000s      0.009w   1032 calls
HF: Form D                          :      0.000u      0.000s      0.007w   1032 calls
HF: DIIS                            :      0.000u      0.000s      0.748w    989 calls
DIISManager::add_entry              :      0.000u      0.000s      0.017w    989 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.071w    989 calls
bMatrix setup                       :      0.000u      0.000s      0.012w    989 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.027w    989 calls
New vector                          :      0.000u      0.000s      0.030w    989 calls
HF: Form C                          :      0.000u      0.000s      0.572w    989 calls
Grad: V T Perturb                   :      0.000u      0.000s      2.657w     43 calls
Grad: S                             :      0.000u      0.000s      0.005w     43 calls
Grad: JK                            :      0.000u      0.000s      3.200w     43 calls
Grad: XC                            :      0.000u      0.000s      0.000w     43 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.154w     43 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.102w     43 calls
DFH: initialize()                   :      0.000u      0.000s      0.865w     43 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.077w    215 calls
| DFH: AO Construction              :      0.000u      0.000s      0.199w     43 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.110w     43 calls
HF: Form core H                     :      0.000u      0.000s      0.122w     43 calls
HF: Form S/X                        :      0.000u      0.000s      0.019w     43 calls
HF: Guess                           :      0.000u      0.000s      1.440w     43 calls
| SAD Guess                         :      0.000u      0.000s      1.409w     43 calls
HF: Form G                          :      0.000u      0.000s     11.888w   1032 calls
| JK: D                             :      0.000u      0.000s      0.009w   1032 calls
| JK: USO2AO                        :      0.000u      0.000s      0.003w   1032 calls
| JK: JK                            :      0.000u      0.000s     11.850w   1032 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.541w    645 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    645 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.133w    645 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.227w    645 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.797w    387 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w   1032 calls
HF: Form F                          :      0.000u      0.000s      0.009w   1032 calls
HF: Form D                          :      0.000u      0.000s      0.007w   1032 calls
HF: DIIS                            :      0.000u      0.000s      0.748w    989 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.017w    989 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.071w    989 calls
| | bMatrix setup                   :      0.000u      0.000s      0.012w    989 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.027w    989 calls
| | New vector                      :      0.000u      0.000s      0.030w    989 calls
HF: Form C                          :      0.000u      0.000s      0.572w    989 calls
Grad: V T Perturb                   :      0.000u      0.000s      2.657w     43 calls
Grad: S                             :      0.000u      0.000s      0.005w     43 calls
Grad: JK                            :      0.000u      0.000s      3.200w     43 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.386w    172 calls
Grad: XC                            :      0.000u      0.000s      0.000w     43 calls

**************************************************************************************

Host: HogEye

Timers On : Wed Feb  9 15:55:44 2022
Timers Off: Wed Feb  9 15:55:44 2022

Wall Time:        0.69 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Wed Feb  9 15:58:01 2022
Timers Off: Wed Feb  9 15:58:35 2022

Wall Time:       33.82 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.146w     43 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      1.359w    817 calls
DFH: initialize()                   :      0.000u      0.000s      0.882w     43 calls
DFH: AO Construction                :      0.000u      0.000s      0.217w     43 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.114w     43 calls
HF: Form core H                     :      0.000u      0.000s      0.122w     43 calls
HF: Form S/X                        :      0.000u      0.000s      0.018w     43 calls
HF: Guess                           :      0.000u      0.000s      1.436w     43 calls
SAD Guess                           :      0.000u      0.000s      1.404w     43 calls
HF: Form G                          :      0.000u      0.000s     11.823w   1032 calls
JK: D                               :      0.000u      0.000s      0.009w   1032 calls
JK: USO2AO                          :      0.000u      0.000s      0.003w   1032 calls
JK: JK                              :      0.000u      0.000s     11.785w   1032 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.525w    645 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    645 calls
DFH: compute_J                      :      0.000u      0.000s      0.131w    645 calls
DFH: compute_K                      :      0.000u      0.000s      0.216w    645 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w   1032 calls
HF: Form F                          :      0.000u      0.000s      0.010w   1032 calls
HF: Form D                          :      0.000u      0.000s      0.007w   1032 calls
HF: DIIS                            :      0.000u      0.000s      0.734w    989 calls
DIISManager::add_entry              :      0.000u      0.000s      0.017w    989 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.069w    989 calls
bMatrix setup                       :      0.000u      0.000s      0.011w    989 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.026w    989 calls
New vector                          :      0.000u      0.000s      0.030w    989 calls
HF: Form C                          :      0.000u      0.000s      0.568w    989 calls
Grad: V T Perturb                   :      0.000u      0.000s      2.641w     43 calls
Grad: S                             :      0.000u      0.000s      0.005w     43 calls
Grad: JK                            :      0.000u      0.000s      3.446w     43 calls
Grad: XC                            :      0.000u      0.000s      0.000w     43 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.146w     43 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.092w     43 calls
DFH: initialize()                   :      0.000u      0.000s      0.882w     43 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.077w    215 calls
| DFH: AO Construction              :      0.000u      0.000s      0.217w     43 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.114w     43 calls
HF: Form core H                     :      0.000u      0.000s      0.122w     43 calls
HF: Form S/X                        :      0.000u      0.000s      0.018w     43 calls
HF: Guess                           :      0.000u      0.000s      1.436w     43 calls
| SAD Guess                         :      0.000u      0.000s      1.404w     43 calls
HF: Form G                          :      0.000u      0.000s     11.823w   1032 calls
| JK: D                             :      0.000u      0.000s      0.009w   1032 calls
| JK: USO2AO                        :      0.000u      0.000s      0.003w   1032 calls
| JK: JK                            :      0.000u      0.000s     11.785w   1032 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.525w    645 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    645 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.131w    645 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.216w    645 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.804w    387 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w   1032 calls
HF: Form F                          :      0.000u      0.000s      0.010w   1032 calls
HF: Form D                          :      0.000u      0.000s      0.007w   1032 calls
HF: DIIS                            :      0.000u      0.000s      0.734w    989 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.017w    989 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.069w    989 calls
| | bMatrix setup                   :      0.000u      0.000s      0.011w    989 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.026w    989 calls
| | New vector                      :      0.000u      0.000s      0.030w    989 calls
HF: Form C                          :      0.000u      0.000s      0.568w    989 calls
Grad: V T Perturb                   :      0.000u      0.000s      2.641w     43 calls
Grad: S                             :      0.000u      0.000s      0.005w     43 calls
Grad: JK                            :      0.000u      0.000s      3.446w     43 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.387w    172 calls
Grad: XC                            :      0.000u      0.000s      0.000w     43 calls

**************************************************************************************

Host: HogEye

Timers On : Wed Feb  9 16:05:35 2022
Timers Off: Wed Feb  9 16:05:36 2022

Wall Time:        0.82 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Wed Feb  9 16:08:41 2022
Timers Off: Wed Feb  9 16:09:14 2022

Wall Time:       32.99 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.184w     43 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      1.326w    817 calls
DFH: initialize()                   :      0.000u      0.000s      0.841w     43 calls
DFH: AO Construction                :      0.000u      0.000s      0.198w     43 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.109w     43 calls
HF: Form core H                     :      0.000u      0.000s      0.120w     43 calls
HF: Form S/X                        :      0.000u      0.000s      0.018w     43 calls
HF: Guess                           :      0.000u      0.000s      1.326w     43 calls
SAD Guess                           :      0.000u      0.000s      1.296w     43 calls
HF: Form G                          :      0.000u      0.000s     11.149w   1032 calls
JK: D                               :      0.000u      0.000s      0.007w   1032 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w   1032 calls
JK: JK                              :      0.000u      0.000s     11.121w   1032 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.375w    645 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    645 calls
DFH: compute_J                      :      0.000u      0.000s      0.061w    645 calls
DFH: compute_K                      :      0.000u      0.000s      0.163w    645 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w   1032 calls
HF: Form F                          :      0.000u      0.000s      0.007w   1032 calls
HF: Form D                          :      0.000u      0.000s      0.005w   1032 calls
HF: DIIS                            :      0.000u      0.000s      0.695w    989 calls
DIISManager::add_entry              :      0.000u      0.000s      0.013w    989 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.052w    989 calls
bMatrix setup                       :      0.000u      0.000s      0.007w    989 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.018w    989 calls
New vector                          :      0.000u      0.000s      0.025w    989 calls
HF: Form C                          :      0.000u      0.000s      0.530w    989 calls
Grad: V T Perturb                   :      0.000u      0.000s      2.684w     43 calls
Grad: S                             :      0.000u      0.000s      0.005w     43 calls
Grad: JK                            :      0.000u      0.000s      3.737w     43 calls
Grad: XC                            :      0.000u      0.000s      0.000w     43 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.184w     43 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.088w     43 calls
DFH: initialize()                   :      0.000u      0.000s      0.841w     43 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.074w    215 calls
| DFH: AO Construction              :      0.000u      0.000s      0.198w     43 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.109w     43 calls
HF: Form core H                     :      0.000u      0.000s      0.120w     43 calls
HF: Form S/X                        :      0.000u      0.000s      0.018w     43 calls
HF: Guess                           :      0.000u      0.000s      1.326w     43 calls
| SAD Guess                         :      0.000u      0.000s      1.296w     43 calls
HF: Form G                          :      0.000u      0.000s     11.149w   1032 calls
| JK: D                             :      0.000u      0.000s      0.007w   1032 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w   1032 calls
| JK: JK                            :      0.000u      0.000s     11.121w   1032 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.375w    645 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    645 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.061w    645 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.163w    645 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.764w    387 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w   1032 calls
HF: Form F                          :      0.000u      0.000s      0.007w   1032 calls
HF: Form D                          :      0.000u      0.000s      0.005w   1032 calls
HF: DIIS                            :      0.000u      0.000s      0.695w    989 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.013w    989 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.052w    989 calls
| | bMatrix setup                   :      0.000u      0.000s      0.007w    989 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.018w    989 calls
| | New vector                      :      0.000u      0.000s      0.025w    989 calls
HF: Form C                          :      0.000u      0.000s      0.530w    989 calls
Grad: V T Perturb                   :      0.000u      0.000s      2.684w     43 calls
Grad: S                             :      0.000u      0.000s      0.005w     43 calls
Grad: JK                            :      0.000u      0.000s      3.737w     43 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.399w    172 calls
Grad: XC                            :      0.000u      0.000s      0.000w     43 calls

**************************************************************************************
